addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,showflag,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
부산광역시 부산진구 가야대로 779 (부전동),,,,,,2930927,38,20221030154457,https://tong.visitkorea.or.kr/cms/resource/90/4017190_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/90/4017190_image3_1.jpg,Type3,129.056805686045,35.1579550616706,6,20260316103559,,051-819-1421,가까운약국,47257,1,26,230,SH,SH04,SH040300
서울특별시 중구 명동8가길 33 (충무로2가),,,,,,4012773,38,20260207014737,https://tong.visitkorea.or.kr/cms/resource/09/4024409_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/09/4024409_image3_1.jpeg,Type3,126.986903352805,37.5619124538241,,20260318101005,,,가나안경원 명동점,04537,1,11,140,SH,SH04,SH040300
서울특별시 강서구 마곡동로 166 (마곡동),,,,,,4008808,38,20260130015059,https://tong.visitkorea.or.kr/cms/resource/70/4021070_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/70/4021070_image3_1.jpg,Type3,126.836784043269,37.5690918473471,,20260401060259,,,가든뷰,07790,1,11,500,SH,SH04,SH040300
서울특별시 중구 장충단로13길 20 (을지로6가),3층,,,,,2905752,38,20221031175712,https://tong.visitkorea.or.kr/cms/resource/43/4041943_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/43/4041943_image3_1.jpg,Type3,127.007666479829,37.568734553218,6,20260325093432,,,가버 현대아울렛 동대문점,04563,1,11,140,SH,SH04,SH040300
경상북도 성주군 수륜면 봉양로1길 313,,,,,,2784167,12,20211201015111,https://tong.visitkorea.or.kr/cms/resource/66/3515766_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/66/3515766_image3_1.JPG,Type3,128.153737946127,35.8340723837092,6,20260311100340,,,가야산생태탐방원,40064,1,47,840,NA,NA04,NA040100
충청북도 청주시 청원구 오창읍 미래지로 71-54,,33,B02,B0201,B02011600,2707444,32,20210227005520,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image3_1.jpg,Type1,127.4055417589,36.7351218825,,20250813155303,10,043-233-9966,가영당,28105,1,43,114,AC,AC03,AC030200
전라남도 강진군 도암면 월곶로 473,(도암면),38,A01,A0101,A01011300,2024432,12,20150820235050,,,,126.7726522891,34.5283725869,6,20250328112900,1,,가우도,59251,1,46,810,NA,NA02,NA020500
경기도 김포시 고촌읍 아라육로152번길 100,1층,,,,,2927087,38,20221031144219,https://tong.visitkorea.or.kr/cms/resource/88/4021288_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/88/4021288_image3_1.jpg,Type3,126.785233626536,37.5972368549658,6,20260318101005,,,가이거 현대프리미엄아울렛 김포점,10135,1,41,570,SH,SH04,SH040300
전북특별자치도 순창군 복흥면 하리길 160,,37,A02,A0201,A02010500,2357441,12,20161229221055,http://tong.visitkorea.or.kr/cms/resource/82/3364482_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/82/3364482_image3_1.JPG,Type3,126.9774224423,35.4505693165,6,20241206140542,7,,가인 김병로 생가터,56002,1,52,770,HS,HS01,HS010500
경상남도 밀양시 산내면,,36,A01,A0101,A01010200,126027,12,20031028090000,http://tong.visitkorea.or.kr/cms/resource/38/3573038_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/3573038_image3_1.jpg,Type3,128.9804563782,35.5803348234,6,20251125101007,7,,가지산도립공원(밀양),"627-830,1",1,48,270,NA,NA04,NA040200
부산광역시 중구 광복로35번길 25-3 (신창동3가),1층,,,,,4008098,38,20260129001341,https://tong.visitkorea.or.kr/cms/resource/43/4021743_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/43/4021743_image3_1.jpg,Type3,129.028697900506,35.1016557138702,,20260316103559,,,가진혼수이불,48946,1,26,110,SH,SH04,SH040300
경상남도 남해군 남면 홍현리 남면로 679번길 21,,36,A02,A0203,A02030100,127778,12,20040129090000,http://tong.visitkorea.or.kr/cms/resource/96/2703896_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2703896_image3_1.jpg,Type3,127.8943963083,34.7279803963,6,20251121170253,5,,가천 다랭이마을,"668-861,21",1,48,840,VE,VE04,VE040200
서울특별시 중구 남대문로 81 (소공동),B1층,,,,,2909061,38,20221030222135,https://tong.visitkorea.or.kr/cms/resource/96/4019996_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/96/4019996_image3_1.jpg,Type3,126.981730421825,37.5647299033135,6,20260319094959,,,가치서울 롯데백화점 본점,04533,1,11,140,SH,SH04,SH040300
경기도 가평군 조종면 현창로44번길 14,,,,,,132786,38,20070508090000,https://tong.visitkorea.or.kr/cms/resource/70/3522870_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/70/3522870_image3_1.jpg,Type3,127.348978957159,37.8196545786134,6,20260323095249,,031-585-1014,가평 현리5일장,12437,1,41,820,SH,SH06,SH060100
경기도 가평군 가평읍 북한강변로 1044-15,(가평읍),31,A03,A0302,A03022400,131940,28,20070420090000,http://tong.visitkorea.or.kr/cms/resource/86/1900086_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1900086_image3_1.jpg,Type3,127.5260031280,37.8060391429,6,20260127083000,1,,가평TOP랜드 번지점프,12422,0,41,820,LS,LS01,LS011800
경기도 가평군 상면 축령로 109,,31,A05,A0502,A05020900,3083766,39,20231024104837,http://tong.visitkorea.or.kr/cms/resource/43/3083743_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/3083743_image3_1.JPG,Type3,127.3600913802,37.7747202904,6,20250409144828,1,,가평카페109,12448,1,41,820,FD,FD05,FD050100
경기도 가평군 북면 석장모루길 13,,31,A02,A0206,A02060100,130915,14,20070710090000,http://tong.visitkorea.or.kr/cms/resource/50/1090950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1090950_image3_1.jpg,Type3,127.5480323037,37.8792143684,6,20250611135034,1,,가평현암 농경박물관,12407,0,41,820,VE,VE07,VE070100
울산광역시 울주군 상북면 간월산길 614,,7,A01,A0101,A01010400,128213,12,20041015090000,http://tong.visitkorea.or.kr/cms/resource/02/3078002_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/02/3078002_image3_1.bmp,Type3,129.0480650268,35.5561610255,6,20251121133035,5,,간월산,44952,1,31,710,NA,NA01,NA010100
울산광역시 울주군 상북면 간월산길 614,,7,A01,A0101,A01010500,2723688,12,20210629184852,http://tong.visitkorea.or.kr/cms/resource/20/3365120_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/3365120_image3_1.jpg,Type3,129.0453821487,35.5482424218,6,20250312172838,5,,간월재,44952,1,31,710,NA,NA04,NA040500
울산광역시 울주군 서생면 간절곶1길 39-2,,7,A01,A0101,A01011600,128022,12,20031215090000,http://tong.visitkorea.or.kr/cms/resource/50/3583350_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/3583350_image3_1.jpg,Type1,129.3605738299,35.3589668021,6,20251212174710,5,,간절곶,45015,1,31,710,VE,VE01,VE010800
,울산광역시 울주군 서생면 대송리,35,A01,A0101,A01011400,2946114,12,20230128202842,http://tong.visitkorea.or.kr/cms/resource/16/2947516_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2947516_image3_1.jpg,Type1,0,0,,20240729151502,99,,간절곶,,0,,,,,
울산광역시 울주군 서생면 나사리,,7,A01,A0101,A01010500,2610509,12,20190711024024,http://tong.visitkorea.or.kr/cms/resource/56/3077956_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/56/3077956_image3_1.bmp,Type3,129.3492110511,35.3546337414,6,20250611175109,5,,간절곶 소망길,45015,1,31,710,NA,NA05,NA050100
울산광역시 울주군 서생면 대송리,산110-22,7,A02,A0205,A02050600,2871546,12,20221020113347,http://tong.visitkorea.or.kr/cms/resource/24/2871524_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/24/2871524_image3_1.JPG,Type3,129.3611487843,35.3588057199,6,20250829104421,5,,간절곶소망우체통,45015,1,31,710,VE,VE01,VE010900
