id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCLANPO25N000000001,장소,관광지,10000051,덕수궁중명전,,,60603,유명사적/유적지,1114016700100009984,서울특별시,중구,정동,,1-11,1114016700,1114052000,,,,126.9725123,37.5667071,다사534520,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000002,장소,관광지,10000141,마애여래좌상,,,60604,국보,4792031028201079808,경상북도,봉화군,물야면,북지리,산108-2,4792031028,4792031000,,,,128.736928,36.9312964,마바101821,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000003,장소,관광지,10000211,추월산관광지,,,60513,일반관광지,4671038026200890368,전라남도,담양군,용면,월계리,산89-1,4671038026,4671038000,,,,126.9977243,35.4017297,다마543118,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000004,장소,관광지,10017022,선우이엔지,,,60403,항공사/여행사,4161025332102119936,경기도,광주시,초월읍,도평리,212-11,4161025332,4161025300,416103211028,현산로,94,127.2916775,37.3957389,다사815329,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000005,장소,관광지,10051323,산머루농원오토캠핑장,,,60520,캠핑장,4148037025100440064,경기도,파주시,적성면,객현리,44-3,4148037025,4148037000,414804418630,윗배우니길,441-42,126.9609058,37.9584941,다사526955,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000006,장소,관광지,10205988,해신당,,,60607,천연기념물,4793031022200030208,경상북도,울진군,북면,나곡리,산3-18,4793031022,4793031000,,,,129.3706886,37.1276364,마사661048,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000007,장소,관광지,10210460,팔각정,,,60607,천연기념물,1114014200100080000,서울특별시,중구,예장동,,8-1,1114014200,1114057000,,,,126.9876489,37.5516598,다사547503,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000008,장소,관광지,10210531,승림식물원,,,60511,식물원,4143010800105460224,경기도,의왕시,청계동,,546-1,4143010800,4143056000,,,,127.009552,37.394184,다사565329,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000009,장소,관광지,10210860,황강서원,,,60603,유명사적/유적지,5211114200102949888,전북특별자치도,전주시완산구,효자동3가,,295-3,5211114200,5211173000,,,,127.1033159,35.8291357,다마641592,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000010,장소,관광지,10213072,알뜨르비행장,,,60513,일반관광지,5013025021114890240,제주특별자치도,서귀포시,대정읍,상모리,1489,5013025021,5013025000,,,,126.2786798,33.2106645,나나861694,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000011,장소,관광지,10213079,영화스캔들촬영지,,,60515,드라마/영화촬영지,4690033021100609536,전라남도,진도군,의신면,사천리,61,4690033021,4690033000,469003301026,운림산방로,315,126.3089043,34.4658071,나라906086,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000012,장소,관광지,10213088,홀통유원지,,,60508,일반유원지/일반놀이공원,4684034030200009728,전라남도,무안군,현경면,오류리,산1-1,4684034030,4684034000,468404688434,홀통길,183,126.3333423,35.0601025,나라936745,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000013,장소,관광지,10213094,진도신비의바닷길축제,,,60523,지역축제,4690032031112120320,전라남도,진도군,고군면,금계리,1212-31,4690032031,4690032000,,,,126.3518847,34.4269193,나라945042,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000014,장소,관광지,10213100,제주정월대보름들불축제,,,60523,지역축제,5011025339145539584,제주특별자치도,제주시,애월읍,봉성리,4554-12,5011025339,5011025300,,,,126.3615858,33.3613965,나나940861,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000015,장소,관광지,10213118,강화고인돌문화축제,,,60523,지역축제,2871037023103479808,인천광역시,강화군,하점면,부근리,348,2871037023,2871037000,287102157001,강화대로,994-12,126.4380143,37.7730251,다사064753,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000016,장소,관광지,10213134,대한성공회강화성당,,,60603,유명사적/유적지,2871025022104220160,인천광역시,강화군,강화읍,관청리,422,2871025022,2871025000,,,,126.4862818,37.7485789,다사106725,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000017,장소,관광지,10213147,보령머드축제,,,60523,지역축제,4418011000122820096,충청남도,보령시,신흑동,,2282,4418011000,4418056500,,,,126.5152987,36.3145023,다바116134,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000018,장소,관광지,10213153,무안연꽃축제,,,60523,지역축제,4684025328112490496,전라남도,무안군,일로읍,산정리,1249,4684025328,4684025300,,,,126.5265012,34.8622935,다라110523,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000019,장소,관광지,10213165,복신미륵,,,60603,유명사적/유적지,5011010700112749568,제주특별자치도,제주시,건입동,,1275-13,5011010700,5011059000,,,,126.5319444,33.515494,다다100030,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000020,장소,관광지,10213178,황토와들꽃세상,,,60511,식물원,4686037030105379840,전라남도,함평군,해보면,대각리,538,4686037030,4686037000,468603297009,올림픽로,1036-7,126.5453264,35.1631147,다라130857,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000021,장소,관광지,10213204,명도암관광농원,,,60516,관광농원/허브마을,5011011600108480512,제주특별자치도,제주시,봉개동,,848-49,5011011600,5011062000,,,,126.6099151,33.4649507,다나172973,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000022,장소,관광지,10213219,자천대,,,60513,일반관광지,5213025022106279936,전북특별자치도,군산시,옥구읍,상평리,628,5213025022,5213025000,,,,126.7065827,35.9303889,다마284707,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000023,장소,관광지,10213228,강진청자문화제,,,60513,일반관광지,4681033022101269504,전라남도,강진군,대구면,사당리,127,4681033022,4681033000,468104679379,청자촌길,33,126.8008651,34.5086559,다라358129,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000024,장소,관광지,10213317,가마골,,,60504,폭포/계곡,4671038027200109568,전라남도,담양군,용면,용연리,산11-3,4671038027,4671038000,,,,127.0019673,35.4568658,다마548180,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000025,장소,관광지,10213334,살사바가치,,,60513,일반관광지,1168010700105289984,서울특별시,강남구,신사동,,529-10,1168010700,1168051000,116804166161,논현로175길,94,127.0216585,37.5231882,다사577472,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000026,장소,관광지,10213363,보성다향제,,,60513,일반관광지,4678025021108910080,전라남도,보성군,보성읍,보성리,891-1,4678025021,4678025000,467803290014,현충로,90,127.0816847,34.7671782,다라617414,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000027,장소,관광지,10213364,보성다향대축제,,,60523,지역축제,4678025024111909888,전라남도,보성군,보성읍,봉산리,1191-1,4678025024,4678025000,467803290003,녹차로,775,127.0816882,34.7198717,다라616362,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
