id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCLANPO25N000000028,장소,관광지,10213367,보성다향제,,,60513,일반관광지,4678025021103380480,전라남도,보성군,보성읍,보성리,338,4678025021,4678025000,467804670293,용문길,18,127.0938919,34.7728143,다라628421,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000029,장소,관광지,10213377,천안흥타령,,,60513,일반관광지,4413111300102159872,충청남도,천안시동남구,봉명동,,216-1,4413111300,4413155000,441313249075,천안여상로,44,127.1346067,36.8039572,다바674673,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000030,장소,관광지,10213379,마애여래좌상,,,60603,유명사적/유적지,4113110700105529856,경기도,성남시수정구,복정동,,553-1,4113110700,4113162000,,,,127.1367169,37.4534842,다사678394,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000031,장소,관광지,10213380,유니티휴양지,,,60508,일반유원지/일반놀이공원,4180036023101490176,경기도,연천군,신서면,내산리,149-5,4180036023,4180036000,,,,127.1435851,38.1522478,다아687169,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000032,장소,관광지,10213382,전주한지문화축제,,,60523,지역축제,5211112100101000192,전북특별자치도,전주시완산구,남노송동,,100-9,5211112100,5211160500,,,,127.1538379,35.8181277,다마687580,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000033,장소,관광지,10213383,전주한지문화축제,,,60523,지역축제,5211111000100140032,전북특별자치도,전주시완산구,풍남동3가,,14-1,5211111000,5211153000,,,,127.1543776,35.8151942,다마687576,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000034,장소,관광지,10213384,천안흥타령,,,60513,일반관광지,4413111800103540224,충청남도,천안시동남구,신부동,,354-1,4413111800,4413159000,441313249008,만남로,43,127.1563537,36.8204757,다바693691,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000035,장소,관광지,10213385,백마고지위령비,,,60606,비/탑/문/각,5178025031118210048,강원특별자치도,철원군,철원읍,산명리,1821,5178025031,5178025000,,,,127.1653275,38.2696075,다아707299,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000036,장소,관광지,10213388,천안흥타령,,,60513,일반관광지,4413111000101159936,충청남도,천안시동남구,삼룡동,,116-6,4413111000,4413158000,,,,127.1692288,36.783712,다바704651,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000037,장소,관광지,10213389,충렬서원,,,60603,유명사적/유적지,4146125327101179904,경기도,용인시처인구,모현읍,능원리,118-2,4146125327,4146125300,,,,127.1703206,37.3410411,다사707269,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000038,장소,관광지,10213400,남구만선생묘,,,60603,유명사적/유적지,4146125323100919808,경기도,용인시처인구,모현읍,초부리,92-2,4146125323,4146125300,,,,127.2440282,37.3138107,다사773239,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000039,장소,관광지,10213403,모현지석묘,,,60603,유명사적/유적지,4146125321104979968,경기도,용인시처인구,모현읍,왕산리,498,4146125321,4146125300,,,,127.2525259,37.3355507,다사780263,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000040,장소,관광지,10213405,천자암쌍향수,,,60513,일반관광지,4615036023100120064,전라남도,순천시,송광면,신평리,12,4615036023,4615036000,461504649532,송광사안길,100,127.2761463,35.0021914,다라795674,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000041,장소,관광지,10213417,남원춘향제,,,60513,일반관광지,5219010400103470080,전북특별자치도,남원시,쌍교동,,347,5219010400,5219052000,,,,127.3814206,35.402511,다마892118,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000042,장소,관광지,10213418,의견비와오수,,,60513,일반관광지,5275035521103320064,전북특별자치도,임실군,오수면,오수리,332,5275035521,5275035500,527504631233,오수3길,7,127.3292529,35.5370435,다마845268,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000043,장소,관광지,10213420,남도음식문화큰축제,,,60523,지역축제,4615038023104749568,전라남도,순천시,낙안면,서내리,475,4615038023,4615038000,,,,127.3380499,34.9086575,다라852571,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000044,장소,관광지,10213431,지산리조트워터점프,,,60513,일반관광지,4150034032102720000,경기도,이천시,마장면,해월리,272-1,4150034032,4150034000,415003353848,해월로,33,127.34558,37.2184357,다사863133,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000045,장소,관광지,10213433,철원토성,,,60513,일반관광지,5178025628102729728,강원특별자치도,철원군,갈말읍,토성리,273-2,5178025628,5178025600,,,,127.3511231,38.2420001,다아869268,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000046,장소,관광지,10213440,남원춘향제,,,60523,지역축제,5219010500101869568,전북특별자치도,남원시,천거동,,187-1,5219010500,5219055000,521903000200,요천로,1447,127.3797788,35.4029013,다마890119,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000047,장소,관광지,10213449,청주플라타너스길,,,60513,일반관광지,4311311900102470144,충청북도,청주시흥덕구,휴암동,,247-2,4311311900,4311376000,,,,127.4034193,36.6211677,다바913470,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000048,장소,관광지,10213456,태평미륵,,,60513,일반관광지,4155040022103669760,경기도,안성시,죽산면,매산리,367-4,4155040022,4155040000,,,,127.4353323,37.0849594,다바942984,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000049,장소,관광지,10213460,구례산수유축제,,,60523,지역축제,4673037026108460032,전라남도,구례군,산동면,좌사리,846-9,4673037026,4673037000,467303288017,지리산온천로,428,127.4717098,35.3189789,다마974026,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000050,장소,관광지,10213464,금산인삼축제,,,60523,지역축제,4471025021103989760,충청남도,금산군,금산읍,신대리,399,4471025021,4471025000,,,,127.5015851,36.0997618,라마001891,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000051,장소,관광지,10213484,하동야생차문화축제,,,60523,지역축제,4885031026106640384,경상남도,하동군,화개면,운수리,664,4885031026,4885031000,488503344009,쌍계로,571-25,127.6427229,35.2277477,라라129924,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000052,장소,관광지,10213489,무주반딧불축제,,,60523,지역축제,5273025022117650432,전북특별자치도,무주군,무주읍,당산리,1765,5273025022,5273025000,,,,127.6614162,36.0049485,라마145786,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000053,장소,관광지,10213490,무주반딧불축제,,,60523,지역축제,5273025022111949824,전북특별자치도,무주군,무주읍,당산리,1195,5273025022,5273025000,,,,127.663016,36.0029937,라마146784,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000054,장소,관광지,10213492,무주향교,,,60603,유명사적/유적지,5273025021102640128,전북특별자치도,무주군,무주읍,읍내리,264-1,5273025021,5273025000,,,,127.6660136,36.0083657,라마149790,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000055,장소,관광지,10213520,인제빙어축제,,,60523,지역축제,5181031024100819968,강원특별자치도,인제군,남면,부평리,82-1,5181031024,5181031000,518104499059,모루박길,17-46,128.0960377,37.9909074,라사523991,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000056,장소,관광지,10213533,무주반딧불축제,,,60523,지역축제,5273032023111000064,전북특별자치도,무주군,설천면,청량리,1100,5273032023,5273032000,527303275022,무설로,1324,127.7601839,36.0122613,라마234795,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000057,장소,관광지,10213534,노일강변,,,60513,일반관광지,5172036030103690240,강원특별자치도,홍천군,남면,남노일리,369,5172036030,5172036000,,,,127.7621316,37.677483,라사231642,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000058,장소,관광지,10213547,영동난계국악축제,,,60523,지역축제,4374025027101100032,충청북도,영동군,영동읍,매천리,110-1,4374025027,4374025000,437403243040,영동황간로,123,127.7847402,36.1661736,라마256966,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000059,장소,관광지,10213548,영동난계국악축제,,,60523,지역축제,4374025027103779840,충청북도,영동군,영동읍,매천리,378-8,4374025027,4374025000,,,,127.7849138,36.1675259,라마256967,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000060,장소,관광지,10213549,굴지리강변,,,60513,일반관광지,5172038034102009856,강원특별자치도,홍천군,북방면,굴지리,201-1,5172038034,5172038000,,,,127.7947347,37.7077849,라사259676,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000061,장소,관광지,10213565,진주남강유등축제,,,60523,지역축제,4817010500104150016,경상남도,진주시,남성동,,415,4817010700,4817055500,481703332011,남강로,626,128.0797781,35.1890937,라라527883,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000062,장소,관광지,10213571,문경찻사발축제,,,60523,지역축제,4728025027103599616,경상북도,문경시,문경읍,진안리,360-10,4728025027,4728025000,472802311001,문경대로,2416,128.0837964,36.7414378,라바521605,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000063,장소,관광지,10213605,효석문화제,,,60523,지역축제,5176034021105470464,강원특별자치도,평창군,봉평면,창동리,547-10,5176034021,5176034000,517604484422,효석문학길,73,128.3687857,37.6121372,라사766573,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000064,장소,관광지,10213627,비선대,,,60504,폭포/계곡,5121011200200410112,강원특별자치도,속초시,설악동,,산41,5121011200,5121060000,,,,128.4666743,38.1628656,라아846185,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000065,장소,관광지,10213634,풍기인삼축제,,,60523,지역축제,4721025021100189696,경상북도,영주시,풍기읍,성내리,19-5,4721025021,4721025000,472103309069,풍기로,71-20,128.5255188,36.8709844,라바914752,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000066,장소,관광지,10213640,화앙산억새평원,,,60513,일반관광지,4874025035203220480,경상남도,창녕군,창녕읍,옥천리,산322,4874025035,4874025000,,,,128.5337173,35.5459308,라마936282,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000067,장소,관광지,10213649,대구약령시축제,,,60523,지역축제,2711013700100510208,대구광역시,중구,남성로,,51-1,2711013700,2711057500,271104223052,달구벌대로415길,49,128.5899026,35.8684954,라마983640,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000068,장소,관광지,10213667,양양송이축제,,,60523,지역축제,5183025021102260224,강원특별자치도,양양군,양양읍,남문리,226-2,5183025021,5183025000,518303235021,일출로,589,128.6246916,38.073754,라아986087,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000069,장소,관광지,10213676,양양연어축제,,,60523,지역축제,5183025021102260224,강원특별자치도,양양군,양양읍,남문리,226-2,5183025021,5183025000,518303235021,일출로,589,128.6247222,38.0735112,라아986087,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000070,장소,관광지,10213685,장승포드라이브,,,60513,일반관광지,4831010200106869760,경상남도,거제시,장승포동,,687,4831010200,4831051000,483103337039,장승로,98,128.7231939,34.8635337,마라118527,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000071,장소,관광지,10213686,청도소싸움축제,,,60523,지역축제,4782025033106929664,경상북도,청도군,화양읍,삼신리,693-2,4782025033,4782025000,478203313078,남성현로,348,128.7243263,35.6874585,마마107441,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000072,장소,관광지,10213693,대관령,,,60513,일반관광지,5176038024100140032,강원특별자치도,평창군,대관령면,횡계리,14-297,5176038024,5176038000,517603000145,경강로,5754,128.7589626,37.6856137,마사110658,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000073,장소,관광지,10213694,남애항드라이브,,,60513,일반관광지,5183034038105620480,강원특별자치도,양양군,현남면,남애리,562-10,5183034038,5183034000,,,,128.7804311,37.9457603,마사125947,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000074,장소,관광지,10213701,강릉객사,,,60603,유명사적/유적지,5115010700100580352,강원특별자치도,강릉시,용강동,,58-1,5115010700,5115052000,,,,128.8917048,37.7532872,마사225735,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000075,장소,관광지,10213709,태백산눈축제,,,60523,지역축제,5119010700101799936,강원특별자치도,태백시,소도동,,180-1,5119010700,5119058500,511903013014,태백산로,4834-31,128.9494496,37.1162507,마사287029,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000076,장소,관광지,10213710,용담,,,60513,일반관광지,5119010700101329920,강원특별자치도,태백시,소도동,,133-2,5119010700,5119058500,511904466158,용담1길,48-17,128.9582561,37.1266095,마사295040,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000077,장소,관광지,10213715,태백태백산눈꽃축제,,,60523,지역축제,5119010100100249600,강원특별자치도,태백시,황지동,,25-2,5119010100,5119053500,,,,128.9908576,37.1729904,마사323092,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000078,장소,관광지,10213721,간월사지,,,60603,유명사적/유적지,3171038034105120256,울산광역시,울주군,상북면,등억알프스리,512-1,3171038034,3171038000,,,,129.0727473,35.5554306,마마425299,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000079,장소,관광지,10213727,작은후진해수욕장드라이브,,,60513,일반관광지,5123010600103470080,강원특별자치도,삼척시,교동,,347-3,5123010600,5123053000,,,,129.1764569,37.4639638,마사482418,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000080,장소,관광지,10213731,경주한국의술과떡잔치,,,60513,일반관광지,4713012400103709696,경상북도,경주시,황성동,,371-3,4713012400,4713062100,,,,129.2197817,35.8592181,마마552638,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000081,장소,관광지,10213741,전통문화다도예절체험학교,,,60513,일반관광지,4713013600103749632,경상북도,경주시,신평동,,375,4713013600,4713066000,471303354593,한국관광1번로,33,129.286745,35.8431669,마마613622,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000082,장소,관광지,10213745,흥해향교와이팝나무군락지,,,60513,일반관광지,4711325024101619712,경상북도,포항시북구,흥해읍,옥성리,162-1,4711325024,4711325000,,,,129.342954,36.1090219,마마658917,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000083,장소,관광지,10213746,간절곶드라이브,,,60513,일반관광지,3171031023101210112,울산광역시,울주군,서생면,나사리,121-1,3171031023,3171031000,,,,129.3484413,35.3565811,마마679083,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000084,장소,관광지,10213752,행남해안산책로,,,60513,일반관광지,4794025024200040448,경상북도,울릉군,울릉읍,도동리,산4,4794025024,4794025000,479404778021,도동길,34,130.9129739,37.4825836,사사017480,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000085,장소,관광지,10252098,상주예술학습장,,,60513,일반관광지,4725037022100209664,경상북도,상주시,내서면,신촌리,21,4725037022,4725037000,472503311045,영남제일로,2521,128.0739426,36.4104955,라바514238,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000086,장소,관광지,10252099,소싸움경기장,,,60513,일반관광지,4817012900101459968,경상남도,진주시,판문동,,146-1,4817012900,4817073000,481704797551,판문오동길,100,128.0406522,35.175981,라라492868,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000087,장소,관광지,10252104,학암포,,,60513,일반관광지,4482535024105149952,충청남도,태안군,원북면,방갈리,515-194,4482535024,4482535000,448254592284,학암포길,19,126.2068286,36.8975887,나바847784,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000088,장소,관광지,10252105,한가라지농원,,,60513,일반관광지,2871041025110550016,인천광역시,강화군,삼산면,매음리,1055-4,2871041025,2871041000,287103157026,삼산남로,1011,126.2982528,37.6922367,나사940665,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000089,장소,관광지,10252107,산청한방테마공원,,,60513,일반관광지,4886034026113000448,경상남도,산청군,금서면,특리,1300-25,4886034026,4886034000,488604835429,동의보감로555번길,61,127.8288215,35.4400978,라마298160,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000090,장소,관광지,10252108,화암관광지,,,60513,일반관광지,5177036021111810048,강원특별자치도,정선군,화암면,화암리,1181-1,5177036021,5177036000,517704487248,약수길,1330,128.7850257,37.3282845,마사138262,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000091,장소,관광지,10252109,화암추등대,,,60513,일반관광지,3117010100109620224,울산광역시,동구,방어동,,962-2,3117010100,3117051000,311704313258,화암등대길,50,129.4073369,35.4725327,마마730213,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000092,장소,관광지,10252111,후포등대,,,60513,일반관광지,4793038021201410048,경상북도,울진군,후포면,후포리,산141-9,4793038021,4793038000,479304775085,등기산길,29,129.4622489,36.6807577,마바753554,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000093,장소,관광지,10252112,한천8경,,,60513,일반관광지,4374032027101669888,충청북도,영동군,황간면,원촌리,167,4374032027,4374032000,,,,127.8854654,36.23746,라바346045,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000094,장소,관광지,10252115,해제반도,,,60513,일반관광지,4684036022102530048,전라남도,무안군,해제면,용학리,253-12,4684036022,4684036000,,,,126.3133253,35.102099,나라918791,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000095,장소,관광지,10252117,대호방조제관광지,,,60513,일반관광지,4421025028200010240,충청남도,서산시,대산읍,화곡리,산1-1,4421025028,4421025000,442104562340,삼길산길,304,126.4485858,37.0045606,다바064900,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000096,장소,관광지,10252122,독도전망대,,,60513,일반관광지,4794025024200110080,경상북도,울릉군,울릉읍,도동리,산11,4794025024,4794025000,479404778012,도동1길,5-42,130.9069905,37.4822003,사사012480,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
KCLANPO25N000000097,장소,관광지,10252123,동백정,,,60513,일반관광지,4477041022103130112,충청남도,서천군,서면,마량리,313-4,4477041022,4477041000,447704580376,서인로235번길,103,126.4935055,36.1379175,다마094939,20251027,맵퍼스,KC_495_LLR_ATRCTN_2025,20250822
